points,dices,res
5,101111369,CCLLOW
9,10114558,LOOSWW
10,1234568,COSSSW
5,1034689,LLLLOS
10,01010689,HLOOWW
6,1034588,CLOSWW
4,10115569,CCLOWW
9,1134469,CCLOSW
5,10113456,CLLLSW
10,10114589,CLOSWW
7,0103689,HCLOSW
7,1134568,CLLOSW
7,0113568,HCCLOS
10,1035689,CCLSSW
9,101011489,CLOSWW
9,1034589,CLOSSW
8,01010689,HLOSSW
10,10115569,LLOOSW
3,0113469,CDLOSW
7,1024589,CCLLOO
6,10123568,CLOSWW
6,01011568,HCLOSW
6,10114699,CLSSWW
10,1034569,CCLOSW
10,101011589,CCLSWW
6,1134569,CLOSWW
4,345689,COOSWW
4,10113568,LOSSSW
8,344689,CLLOSW
11,1145569,LOOSSW
7,01011458,HCLOOW
6,1034589,CLOSWW
6,0103458,DLLOWW
9,10114468,CLLOOS
9,1035699,CCLSSW
10,10112569,CCLLSW
9,10114589,CLLSSW
9,1226699,CLOOWW
10,1134566,CLOSSW
9,1034589,CLLOSW
6,10114589,CLOSSW
5,1133468,COSSWW
10,1035699,CCLLSW
5,10102489,CLOSSW
5,101111336,CCLOOO
6,10102599,CCLSSW
6,1035689,CLOWWW
10,10114568,CCOSSW
6,10113458,CLOSSW
6,034468,HCLOWW
3,01011369,CDLSWW
10,101011589,CCCLLW
4,10113568,CCCOWW
10,10112569,CLOOSW
5,334689,LLSWWW
8,10104589,LLOOSS
9,1134489,CLLOWW
8,1034588,CLOSSW
6,0102569,HCOSWW
10,1135669,CLOSSW
7,0105689,DLOSWW
10,1134568,CLLOSW
7,101112569,CLOOSS
7,344689,CLOSWW
6,0112466,HOOSWW
7,10112556,LOOSWW
5,1034689,CCLSWW
10,101011599,CLOSWW
6,10102489,COOSSW
9,10113568,CCLOSW
6,0124568,HCLSSW
10,1035699,CLLOSW
10,101011359,CLOOWW
4,10114589,CLOSSW
5,334689,CLLOSW
8,10114568,COSSWW
6,101011348,CLSSWW
10,1135669,CLOSSW
7,1023489,CLLOOW
6,10105589,CCLLWW
8,10113599,CCOSWW
7,0102368,HLLOSS
10,10115569,CLOOWW
6,334468,CLSSWW
9,0104589,HCLLSW
10,10123568,CLOSSW
4,01011568,HCCOSS
6,1034669,CLOSWW
4,0011556,HBCLOO
7,10114589,CLLOOW
10,1034589,CLLSWW
6,1133469,CLSSSW
10,10113389,CLOSSS
7,1124469,CCLLOW
9,1034568,LOOSWW
6,10114559,CLLOSW
7,1024589,CLLOSW
7,0103468,CDLSWW
10,0103689,BCLSWW
7,10115569,CCLOOS
10,334689,CLOOSW
7,1055689,CLLSWW
3,1011111269,CCLOOW
4,0102568,HCLSSW
7,1134699,CCOSWW
7,10113568,CLLOSW
10,10114568,CCOSSW
4,0103489,HLLLSW
6,01010589,HCLOSW
10,345689,CLLOSW
5,101112568,CLOSSW
5,0112469,HLOSWW
4,0123489,HOOSWW
4,10114599,CLLLSW
10,01011568,HLOSSW
5,1034689,CLLOSW
9,101011489,CLOSWW
7,10113569,CLLSSW
10,1234569,CLOSSW
7,033468,HLLOSS
10,1055689,OSSWWW
8,334689,CCLOOW
6,10102489,CLOSSW
5,11113469,CLOOWW
7,10114699,OOSSWW
10,1134566,LLOSSW
7,1034589,CCLSWW
6,01010588,HCLLSW
6,0104689,HCLLOW
6,10123569,CLOSSW
6,1034568,CLLSSW
10,01011568,CDOOSW
5,0113446,CDLOSW
6,10105699,OSSSWW
7,10113568,CLLOSW
10,10114589,CLLOSW
5,10113569,LLOOSS
10,1035689,COSWWW
7,10113489,CLOSWW
8,10114568,CCLLSW
4,1135669,LOSSWW
10,344588,CLLOWW
6,01010589,HCCLOW
5,1134699,COSSSW
8,10113599,COOSWW
9,10125569,CLLOSW
10,1134456,CLOOSW
8,01010488,HCLSWW
6,1034589,CLOSSW
9,1034588,CLSWWW
11,025669,HCLLOS
7,1134669,CLLOSW
7,0102568,HCOOSW
10,345689,CLSSWW
3,11113469,CLOWWW
5,1035689,CCLLOS
6,0102569,HCLOSS
7,1034669,CLOOWW
6,1123499,CCLOSW
10,1034588,CCLOWW
6,1133669,CCLLLW
4,1145569,CLOOSW
10,01010589,HOSSSW
8,0103458,CDLOOW
7,1124569,CLOSSW
10,10114569,CLLOOW
6,10113599,CLOOSW
6,00101088,HDOWWW
10,0102468,HCLLSW
7,1034568,COSSWW
8,101111569,OOOSWW
2,11123669,CLLSWW
8,1135669,COOSSW
5,10113489,CLLOSW
10,1035689,LLLOSW
9,1134458,CLLOSW
7,10102589,CLLOOS
10,10114589,CLOOSW
6,1133468,OOSSWW
6,345689,CLSSWW
5,0104588,HCOSWW
6,01011569,CDLOSW
10,01011499,HOSSWW
8,334466,CLLOSS
5,0104589,HCCOWW
12,01010388,DLOOSW
6,1124569,CLLOSW
6,1034569,CLLSWW
11,1034588,COOSSW
9,1135669,LOSWWW
6,101011589,CLOSSW
7,1124569,CLLSSW
4,1133669,CCLOOS
10,1055689,CCLSSW
4,0103489,HLOWWW
5,1134458,CLOSSW
5,10115669,CCLOOW
10,1134489,CCLOSW
4,1025589,CLLOSS
8,1033459,CLOSSW
